,name,zone,price,square_mt,rooms,wc,terraza,balcon,estado,año,armarios,cocina,amueblado,planta,calef,asc,exterior,cp,extract_day
96710242,Alquiler de Piso en calle del Poeta Cabanyes,"El Poble Sec - Parc de Montjuïc, Barcelona",1200,60,2,1,0,1,segunda mano/buen estado,,0,1,1,0,0,1,1,08004,2022-02-09
32381781,Alquiler de Piso en El Poble Sec - Parc de Montjuïc,"Sants-Montjuïc, Barcelona",1895,100,5,2,0,1,segunda mano/buen estado,,0,1,1,2,0,1,1,08004,2022-02-09
96697987,Alquiler de Estudio en calle de Piquer,"El Poble Sec - Parc de Montjuïc, Barcelona",600,35,0,1,0,0,segunda mano/buen estado,,0,0,0,0,0,1,0,08004,2022-02-09
96659121,Alquiler de Piso en El Poble Sec - Parc de Montjuïc,"Sants-Montjuïc, Barcelona",1157,80,4,1,0,1,segunda mano/buen estado,,0,1,1,2,0,1,1,08004,2022-02-09
96699979,Alquiler de Piso en calle Nou de la Rambla,"El Poble Sec - Parc de Montjuïc, Barcelona",850,76,3,1,0,0,segunda mano/buen estado,1969,0,1,1,1,0,1,1,08004,2022-02-09
88992039,"Alquiler de Estudio en calle de Sant Fructuós, 28","La Font de la Guatlla, Barcelona",800,42,0,1,0,0,segunda mano/buen estado,,0,1,1,0,0,0,1,08004,2022-02-09
96697977,Alquiler de Piso en calle Nou de la Rambla,"El Poble Sec - Parc de Montjuïc, Barcelona",760,45,3,1,0,1,segunda mano/buen estado,,0,0,0,3,0,0,1,08004,2022-02-09
36714857,Alquiler de Estudio en calle de la França Xica,"El Poble Sec - Parc de Montjuïc, Barcelona",775,40,0,1,0,0,segunda mano/buen estado,1910,1,1,1,0,1,0,1,08004,2022-02-09
96695956,"Alquiler de Estudio en calle de Blasco de Garay, 51","El Poble Sec - Parc de Montjuïc, Barcelona",700,40,0,1,0,1,segunda mano/buen estado,,0,1,1,1,0,0,1,08004,2022-02-09
96695930,Alquiler de Ático en calle Cabanes,"El Poble Sec - Parc de Montjuïc, Barcelona",1200,60,3,1,1,0,segunda mano/buen estado,1970,1,1,1,6,1,1,1,08004,2022-02-09
96692651,Alquiler de Piso en calle de Blesa,"El Poble Sec - Parc de Montjuïc, Barcelona",900,68,3,1,0,0,segunda mano/buen estado,1930,0,0,0,0,0,1,1,08004,2022-02-09
2070751,"Alquiler de Piso en calle Creu Dels Molers, 22","El Poble Sec - Parc de Montjuïc, Barcelona",750,65,2,1,1,0,segunda mano/buen estado,,1,1,1,0,0,0,1,08004,2022-02-09
96690897,Alquiler de Piso en calle de la Puríssima Concepció,"El Poble Sec - Parc de Montjuïc, Barcelona",1100,94,3,2,0,0,segunda mano/buen estado,1948,0,1,0,3,1,0,1,08004,2022-02-09
89306495,Alquiler de Dúplex en plaza de Santa Madrona,"El Poble Sec - Parc de Montjuïc, Barcelona",1100,85,2,1,1,0,segunda mano/buen estado,1910,0,1,1,0,1,1,1,08004,2022-02-09
39345437,Alquiler de Piso en calle de Magalhães,"El Poble Sec - Parc de Montjuïc, Barcelona",1200,42,1,1,0,0,segunda mano/buen estado,,0,1,1,0,1,1,0,08004,2022-02-09
96686303,Alquiler de Piso en La Font de la Guatlla,"Sants-Montjuïc, Barcelona",750,54,2,1,0,0,segunda mano/buen estado,1968,0,1,1,1,0,1,1,08004,2022-02-09
96685350,Alquiler de Piso en calle de Lafont,"El Poble Sec - Parc de Montjuïc, Barcelona",850,70,2,1,0,0,segunda mano/buen estado,1979,0,1,0,2,1,0,1,08004,2022-02-09
85359665,"Alquiler de Piso en calle de Cabanes, 41","El Poble Sec - Parc de Montjuïc, Barcelona",1100,104,3,2,0,1,segunda mano/buen estado,,1,1,1,1,0,1,1,08004,2022-02-09
82248247,Alquiler de Piso en calle de Ricart,"El Poble Sec - Parc de Montjuïc, Barcelona",760,48,2,1,1,0,segunda mano/buen estado,1900,0,0,0,2,0,0,1,08004,2022-02-09
96677041,"Alquiler de Piso en avenida del Paral·lel, 99","El Poble Sec - Parc de Montjuïc, Barcelona",950,71,2,1,0,0,segunda mano/buen estado,,1,1,1,0,0,1,1,08004,2022-02-09
96505970,Alquiler de Piso en calle del Roser,"El Poble Sec - Parc de Montjuïc, Barcelona",1000,40,1,1,0,1,segunda mano/buen estado,,0,1,0,1,1,1,1,08004,2022-02-09
96659776,Alquiler de Piso en paseo de Montjuïc,"El Poble Sec - Parc de Montjuïc, Barcelona",800,51,1,1,0,0,segunda mano/buen estado,,0,1,1,3,1,1,1,08004,2022-02-09
96518909,Alquiler de Piso en calle de Magalhães,"El Poble Sec - Parc de Montjuïc, Barcelona",1210,121,2,2,0,0,segunda mano/buen estado,1996,1,1,1,0,1,0,0,08004,2022-02-09
96666796,Alquiler de Piso en calle de la Concòrdia,"El Poble Sec - Parc de Montjuïc, Barcelona",950,67,3,1,1,0,segunda mano/buen estado,,0,0,0,1,0,1,1,08004,2022-02-09
96657445,Alquiler de Piso en Olivera,"El Poble Sec - Parc de Montjuïc, Barcelona",850,42,1,1,1,0,segunda mano/buen estado,1900,0,1,1,0,0,0,0,08004,2022-02-09
96412598,"Alquiler de Piso en calle de Tapioles, 32","El Poble Sec - Parc de Montjuïc, Barcelona",1080,78,2,1,0,1,segunda mano/buen estado,,0,1,0,2,1,1,1,08004,2022-02-09
89279482,Alquiler de Piso en calle Nou de la Rambla,"El Poble Sec - Parc de Montjuïc, Barcelona",1490,90,1,2,1,0,segunda mano/buen estado,,0,1,1,0,1,1,0,08004,2022-02-09
96151477,Alquiler de Piso en calle de Blasco de Garay,"El Poble Sec - Parc de Montjuïc, Barcelona",900,90,3,2,0,0,segunda mano/buen estado,,0,1,1,0,0,1,0,08004,2022-02-09
96656494,Alquiler de Piso en calle de Lleida,"El Poble Sec - Parc de Montjuïc, Barcelona",1090,65,2,1,0,1,segunda mano/buen estado,1950,0,1,0,1,1,1,1,08004,2022-02-09
91548371,"Alquiler de Piso en Sant Pauli de Nola, 6","La Font de la Guatlla, Barcelona",850,50,1,1,0,0,segunda mano/buen estado,2006,1,1,1,2,1,1,1,08004,2022-02-09
96626040,Alquiler de Piso en Gran Via de les Corts Catalanes,"La Font de la Guatlla, Barcelona",1000,76,4,1,1,0,segunda mano/buen estado,,0,0,0,1,0,1,1,08004,2022-02-09
82847665,Alquiler de Piso en calle del Roser,"El Poble Sec - Parc de Montjuïc, Barcelona",1295,50,2,1,0,1,segunda mano/buen estado,,0,1,1,4,1,1,0,08004,2022-02-09
85714883,Alquiler de Ático en calle de Tapioles,"El Poble Sec - Parc de Montjuïc, Barcelona",990,50,1,1,1,0,segunda mano/buen estado,,1,1,0,2,1,0,1,08004,2022-02-09
96375749,Alquiler de Piso en calle de Vila i Vilà,"El Poble Sec - Parc de Montjuïc, Barcelona",1050,85,2,2,0,0,segunda mano/buen estado,1974,1,1,1,1,0,1,1,08004,2022-02-09
96663142,Alquiler de Piso en chopin,"La Font de la Guatlla, Barcelona",916,83,2,1,0,0,segunda mano/buen estado,1966,0,1,1,1,1,0,1,08004,2022-02-09
96110926,Alquiler de Piso en Creu del Molers,"El Poble Sec - Parc de Montjuïc, Barcelona",1150,51,2,1,0,1,segunda mano/buen estado,1936,0,1,0,3,1,1,1,08004,2022-02-09
96638442,Alquiler de Piso en calle del Poeta Cabanyes,"El Poble Sec - Parc de Montjuïc, Barcelona",750,49,1,1,0,1,segunda mano/buen estado,1900,0,1,0,2,0,0,1,08004,2022-02-09
96249023,Alquiler de Ático en calle de Sant Fructuós,"La Font de la Guatlla, Barcelona",1600,75,3,2,1,1,segunda mano/buen estado,,1,1,1,6,1,1,1,08004,2022-02-09
91400340,"Alquiler de Piso en calle de Mèxic, 22","La Font de la Guatlla, Barcelona",1350,65,3,1,0,1,segunda mano/buen estado,,0,0,0,5,1,1,1,08004,2022-02-09
96400032,"Alquiler de Piso en calle de la Font Honrada, 12","El Poble Sec - Parc de Montjuïc, Barcelona",950,76,2,1,1,1,segunda mano/buen estado,1865,1,1,1,2,1,0,1,08004,2022-02-09
88162196,Alquiler de Piso en calle de la Bòbila,"El Poble Sec - Parc de Montjuïc, Barcelona",1300,32,1,1,0,0,segunda mano/buen estado,,0,1,1,4,1,0,0,08004,2022-02-09
39241794,Alquiler de Piso en calle del Poeta Cabanyes,"El Poble Sec - Parc de Montjuïc, Barcelona",1250,75,2,1,0,1,segunda mano/buen estado,,0,1,1,1,1,1,1,08004,2022-02-09
82333856,Alquiler de Piso en calle de la Puríssima Concepció,"El Poble Sec - Parc de Montjuïc, Barcelona",1350,69,2,1,0,1,segunda mano/buen estado,,0,1,1,1,1,0,1,08004,2022-02-09
82847670,Alquiler de Piso en calle del Roser,"El Poble Sec - Parc de Montjuïc, Barcelona",1295,50,2,1,0,1,segunda mano/buen estado,,0,1,1,0,1,1,0,08004,2022-02-09
96648158,Alquiler de Piso en plaza de Santa Madrona,"El Poble Sec - Parc de Montjuïc, Barcelona",1100,75,4,2,1,0,segunda mano/buen estado,,1,1,1,4,1,1,0,08004,2022-02-09
96633613,Alquiler de Piso en Méxic,"La Font de la Guatlla, Barcelona",1500,81,3,1,0,1,segunda mano/buen estado,,0,1,1,6,1,1,0,08004,2022-02-09
94424284,Alquiler de Piso en Pedreres,"El Poble Sec - Parc de Montjuïc, Barcelona",1250,50,2,1,0,0,segunda mano/buen estado,,0,1,1,1,1,0,1,08004,2022-02-09
95194777,Alquiler de Piso en paseo de montjuic,"El Poble Sec - Parc de Montjuïc, Barcelona",1650,63,2,1,0,1,segunda mano/buen estado,,0,1,1,0,1,0,1,08004,2022-02-09
96540502,"Alquiler de Piso en ELKANO, 43","El Poble Sec - Parc de Montjuïc, Barcelona",1150,120,3,1,1,0,segunda mano/buen estado,1900,1,0,0,0,0,0,1,08004,2022-02-09
96211695,Alquiler de Piso en calle de Piquer,"El Poble Sec - Parc de Montjuïc, Barcelona",910,52,1,1,0,0,segunda mano/buen estado,1900,0,0,0,0,0,0,1,08004,2022-02-09
92774915,Alquiler de Piso en calle de Tamarit,"El Poble Sec - Parc de Montjuïc, Barcelona",930,75,3,2,0,0,segunda mano/buen estado,1927,0,1,0,1,0,1,1,08004,2022-02-09
96344063,Alquiler de Estudio en calle d'En Fontrodona s/n,"El Poble Sec - Parc de Montjuïc, Barcelona",940,40,0,1,0,0,segunda mano/buen estado,1910,0,0,0,0,0,0,1,08004,2022-02-09
96140458,"Alquiler de Piso en CONCORDIA, 20","El Poble Sec - Parc de Montjuïc, Barcelona",950,80,2,2,0,0,segunda mano/buen estado,1930,0,0,0,0,0,0,1,08004,2022-02-09
95271703,Alquiler de Estudio en avenida del Paral·lel,"El Poble Sec - Parc de Montjuïc, Barcelona",760,48,0,1,1,0,segunda mano/buen estado,1967,0,0,0,0,0,1,1,08004,2022-02-09
95873231,Alquiler de Estudio en El Poble Sec - Parc de Montjuïc,"Sants-Montjuïc, Barcelona",1600,129,0,1,1,0,segunda mano/buen estado,1936,1,1,1,0,1,0,1,08004,2022-02-09
95893718,Alquiler de Piso en Montjuic,"El Poble Sec - Parc de Montjuïc, Barcelona",1650,63,2,1,0,1,segunda mano/buen estado,,0,1,1,1,1,0,1,08004,2022-02-09
90114965,Alquiler de Estudio en Gran Via de les Corts Catalanes,"La Font de la Guatlla, Barcelona",1750,30,0,1,0,0,segunda mano/buen estado,,0,0,0,1,0,1,0,08004,2022-02-09
96528276,Alquiler de Piso en CORTS CATALANES,"La Font de la Guatlla, Barcelona",1175,76,4,1,0,0,segunda mano/buen estado,1936,0,0,0,3,0,1,1,08004,2022-02-09
96454357,Alquiler de Estudio en Passatge de Prunera,"El Poble Sec - Parc de Montjuïc, Barcelona",1200,128,0,2,1,0,segunda mano/buen estado,1930,0,1,0,0,0,0,0,08004,2022-02-09
96155529,Alquiler de Piso en calle de la Creu dels Molers,"El Poble Sec - Parc de Montjuïc, Barcelona",1250,51,2,1,0,1,segunda mano/buen estado,1936,0,1,1,3,1,1,1,08004,2022-02-09
