,propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,parkingSpace,labels
0,96700482,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/64/00/71/954055979.jpg,AM348.12.A,30,12,890.0,flat,rent,102.0,False,4,1,Avenida Meridiana,Barcelona,Barcelona,Sant Andreu,es,La Sagrera,41.4277112,2.1862261,False,https://www.idealista.com/inmueble/96700482/,2621,"Directo de propietario, sin comisiones de agencias. Como todos nuestros pisos, se entrega en perfecto estado, recién pintado y desinfectado, dando un plazo de revisión para cualquier problema que pueda surgir.     Piso exterior, distribuido en 4 habitaciones, recibidor, cocina, balcón exterior, lavadero-tendedero, baño y salón comedor.     La finca dispone de servicio de conserjería y mantenimiento incluido en la renta, así como gastos de comunidad.     Situado entre Avda. Meridiana y la calle Torroella de Montgrí (esquina Pegaso y Dublín), la zona está dotada de excelentes comunicaciones BUS, RENFE y Metro (L1 y L5) y equipamientos deportivos, escuelas, servicios y centro comercial Hipercor situado en la Plaza central del conjunto, que constituye un espacio de grandes dimensiones perfectamente ajardinado.     Disponibilidad de plazas de aparcamiento en el edificio.",True,good,False,True,9.0,{'typology': 'flat'},"{'subtitle': 'La Sagrera, Barcelona', 'title': 'Piso en Avenida Meridiana'}",False,False,False,False,False,,
1,96700428,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b2/be/10/954054012.jpg,1112,11,2,1800.0,studio,rent,85.0,False,0,1,ALABA,Barcelona,Barcelona,Sant Martí,es,El Parc i la Llacuna del Poblenou,41.39786,2.1923603,False,https://www.idealista.com/inmueble/96700428/,762,"Loft de 85 m, totalmente reformado, 1 habitacion, salon comedor amplio totalmente amueblado, con aire acondicionado con bomba de calor, cocina abierta con todos los electrodomesticos, baño completo con plato de ducha, servicio de porteria, ascensor. Incluido en precio 2 plazas de parking para coche y moto. Cerca de transporte y comercios.",False,good,False,True,21.0,"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'El Parc i la Llacuna del Poblenou, Barcelona', 'title': 'Estudio en ALABA'}",False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
2,96700357,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ca/25/c8/954051329.jpg,ALQSM,21,3,1100.0,flat,rent,60.0,True,2,1,Calle Doctor Trueta,Barcelona,Barcelona,Sant Martí,es,El Poblenou,41.3956673,2.2010222,False,https://www.idealista.com/inmueble/96700357/,1385,"Excelente piso totalmente reformado a estrenar con ascensor a una calle de la Rambla de Poblenou y a dos minutos de las mejores playas de Barcelona. Consta de 60 m2 distribuidos en salón comedor, cocina americana, 2 dormitorios, y un baño completo. El inmueble está equipado con lavadora nevera aire acondicionado frio calor, y parte de mobiliario.  Situado en una finca joven con ascensor totalmente rehabilitada, a escasos metros de la Rambla del Poblenou y de la playa, muy cerca de centros comerciales y zonas de ocio.  Muy bien comunicado con transporte público (metro, bus). Ven a verlo!",True,good,False,True,18.0,{'typology': 'flat'},"{'subtitle': 'El Poblenou, Barcelona', 'title': 'Piso en Calle Doctor Trueta'}",False,False,False,False,False,,
3,91806870,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1d/58/1f/931218092.jpg,14787,39,,2100.0,flat,rent,60.0,True,2,1,barrio La Dreta de l'Eixample,Barcelona,Barcelona,Eixample,es,La Dreta de l'Eixample,41.3925857,2.1680767,False,https://www.idealista.com/inmueble/91806870/,2169,"Cálido apartamento reformado, en alquiler temporal, de 60 m2 a pocos minutos de ‘Passeig de Gràcia’. Dispone de un soleado salón comedor y una cocina americana de vitrocerámica totalmente equipada (horno, nevera, lavavajillas, microondas, lavadora y secadora). Además, dispone de dos dormitorios dobles (uno de ellos exterior) y un baño con bañera. Equipado con suelos de parqué, sistema de climatización frío/calor por conducto e internet opcional (precio aparte). Se entrega completamente amueblado con mobiliario moderno. Ubicado en finca antigua rehabilitada que dispone de zonas comunitarias, ascensor y servicio conserjería. La comunidad ofrece piscina, gimnasio, solárium, parking opcional y jardín. Céntrico, luminoso y bien comunicado. Gastos de comunidad e IBI incluido. ZONA: Eixample-La Dreta de l’Eixample. TRANSPORTE PÚBLICO: Metro (L1) (L2) (L3) (L4), Renfe (Passeig de Gràcia), Bus y Bicing.",False,good,False,True,35.0,{'typology': 'flat'},"{'subtitle': ""La Dreta de l'Eixample, Barcelona"", 'title': 'Piso'}",True,False,False,False,False,,"[{'name': 'apartamentoType', 'text': 'Apartamento'}]"
4,90508290,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1b/a6/2f/792014420.jpg,,23,1,1400.0,flat,rent,89.0,True,3,1,"Travesía de Sant Antoni, 13",Barcelona,Barcelona,Gràcia,es,Vila de Gràcia,41.4023756,2.154147,True,https://www.idealista.com/inmueble/90508290/,2910,"DISPONIBLE EL 16 DE FEBRERO. Piso de ( alquiler temporal) contrato de 5 a 11 meses. Piso de tres habitaciones (una doble y dos individuales) y un baño con bañera. Cocina americana, suelos de parquet, galeria con lavadora y zona para tender. Aire acondicionado Calefacción Finca con ascensor No duden en visitarlo!",False,good,False,True,16.0,{'typology': 'flat'},"{'subtitle': 'Vila de Gràcia, Barcelona', 'title': 'Piso en Travesía de Sant Antoni, 13'}",False,False,False,False,False,,
5,95608753,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3b/60/62/924654213.jpg,669383,15,4,1200.0,flat,rent,80.0,False,2,1,barrio El Besòs,Barcelona,Barcelona,Sant Martí,es,El Besòs,41.4180441,2.2083423,False,https://www.idealista.com/inmueble/95608753/,2230,"Piso recien reformado sin muebles orientado a sur, de 2 habitaciones dobles, cuarto de baño,   salón/cocina/comedor de 35m2, recibidor.       Finca con conserge, 3 ascensores. Hay plazas de parking en el edificio opcional.",False,good,False,True,15.0,{'typology': 'flat'},"{'subtitle': 'El Besòs, Barcelona', 'title': 'Piso'}",False,False,False,False,False,,
6,27247662,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/01/6c/0f/261275396.jpg,L393,25,3,895.0,flat,rent,60.0,True,1,1,Calle Indústria,Barcelona,Barcelona,Sant Andreu,es,La Sagrera,41.4221951,2.1904634,False,https://www.idealista.com/inmueble/27247662/,2002,"Fantástico piso de 50m2 con balcón-terraza completamente equipado y Amueblado con muebles de diseño!  1 habitación doble con salida a balcón, baño completo con bañera.  Cocina semi-abierta completamente Equipada (lavavajillas, lavadora, frigorífico combi, vitrocerámica, microondas). Salón con salida a balcón (cabe mesa y sillas). Suelos de parqué, Aire Acondicionado y calefacción por conductos.  Acabados de 1ª calidad. Finca con Ascensor y Piscina comunitaria!  Muy tranquilo y soleado. Junto a metro Sagrera y estación RENFE! Único en zona y precio! .  Muy tranquilo y soleado.  Todos los servicios en la zona, supermercados, mercado, comercio de proximidad y atención sanitaria. Junto a metro Sagrera líneas 1, 5, 9 y 10 y estación de RENFE. Numerosas líneas de autobús y rápida salida Norte de Barcelona. NO OLVIDE FACILITARNOS SU NUMERO DE TLEFONO, TAMBIEN PUEDE CONTACTAR CON NOSOTROS EN EL +34 608377744 WHATSAPP, INDICANDO LA REF L393, LE ATENDEREMOS LO ANTES POSIBLE.",False,good,False,True,15.0,{'typology': 'flat'},"{'subtitle': 'La Sagrera, Barcelona', 'title': 'Piso en Calle Indústria'}",False,False,False,False,False,,
7,96514783,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/39/a6/17/950935066.jpg,682107,26,6,1950.0,duplex,rent,115.0,False,4,2,barrio Diagonal Mar i el Front Marítim del Poblenou,Barcelona,Barcelona,Sant Martí,es,Diagonal Mar i el Front Marítim del Poblenou,41.4028552,2.215203,False,https://www.idealista.com/inmueble/96514783/,2194,"Magnífico ático dúplex con vistas al mar, en una de las zonas más exclusivas de Barcelona. A tan sólo 200 metros de las mejores playas de la ciudad.    Rodeado de comercios y todos los servicios necesarios. Excelentes comunicaciones (acceso Ronda Litoral en 1 minuto, Metro Selva de Mar a 2 calles, Autobús 6 en 50 metros).    Apartamento muy luminoso, donde TODAS las habitaciones dan al exterior. Tanto el comedor (que tiene acceso a un amplio balcón desde donde se ve el mar), así como desde todas las habitaciones del dúplex, tiene vistas a una agradable zona verde comunitaria. Muy relajante y tranquilo. Su orientación sur, hace que se pueda disfrutar del sol durante toda la tarde.    4 habitaciones, donde una de ellas es una suite con un baño totalmente renovado y con acceso a su propio balcón, así como otras 3 habitaciones.  2 Aseos  Cocina equipada.  A/C en todas las estancias  2 balcones    Parking opcional 100 euros al mes.",False,good,False,True,17.0,"{'typology': 'flat', 'subTypology': 'duplex'}","{'subtitle': 'Diagonal Mar i el Front Marítim del Poblenou, Barcelona', 'title': 'Dúplex'}",False,False,False,False,False,,
8,96587693,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/25/16/f9/951056369.jpg,682389,16,1,1350.0,flat,rent,70.0,False,2,1,barrio Diagonal Mar i el Front Marítim del Poblenou,Barcelona,Barcelona,Sant Martí,es,Diagonal Mar i el Front Marítim del Poblenou,41.4033694,2.2113159,False,https://www.idealista.com/inmueble/96587693/,1867,"Piso recien reformado de 75m2 en el Front Marítim de Barcelona, en primera línea de playa con zona ajardinada interior. Dispone de 2 habitaciones, cocina independiente equipada y con doble acceso, salón comedor y 1 baño completo.  Orientación Sur con vistas al jardín interior de manzana en todas las estancias (ventanas de suelo a techo).  Equipado con lavadora-secadora, frigorífico, lavaplatos, muebles del comedor, armarios empotrados, aire acondicionado integrado por conductos en toda la vivienda, calefacción a gas, alarma y parqué macizo.   El edificio dispone de recogida neumática de basuras y acceso directo a la zona ajardinada interior y plantas de aparcamiento.  1 Plaza de paking opcional por 100 euros.  Transporte público: Parada de metro Selva de Mar (L4), Lineas de Bus H16, 26 y V27. Entrada directa a Ronda Litoral.  A 5 min andando de Centro Comercial Diagonal-Mar, a 2 min de Mercadona.",False,good,False,True,19.0,{'typology': 'flat'},"{'subtitle': 'Diagonal Mar i el Front Marítim del Poblenou, Barcelona', 'title': 'Piso'}",False,False,False,False,False,,
9,96685277,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fe/af/8c/953642125.jpg,101025,3,4,1350.0,flat,rent,86.0,True,3,2,Calle de Casp,Barcelona,Barcelona,Eixample,es,El Fort Pienc,41.3970821,2.1821139,False,https://www.idealista.com/inmueble/96685277/,977,"PIA ADVISORS presenta en esta oportunidad encantador piso de 86 mts2 en Fort Pienc a 5 minutos de Plaza Tetuan, Torre Agbar, Sagrada Familia y Parque de la Ciudadela, justo en el centro de Barcelona, con todos los servicios al alcance de nuestras manos. La propiedad se encuentra distribuida en 3 habitaciones, de las cuales 1 es doble, y las 2 restantes individuales. En cuanto al salón-comedor es amplio y luminoso exterior a un balcón típico del barrio de la Eixample.  Por otro lado la cocina es independiente se encuentra con todos los electrodomésticos indispensables para nuestro día a día. Asimismo la vivienda cuenta con un baño completo de 4 piezas con bañera y un aseo de cortesía para invitados. Piso en una zona céntrica y muy agradable. Equipado con parquet, aire acondicionado y calefacción. CONDICIONES: -2 meses de fianza -Mes en curso -Honorarios de agencia: 10% de una anualidad + IVA.",False,good,False,True,16.0,{'typology': 'flat'},"{'subtitle': 'El Fort Pienc, Barcelona', 'title': 'Piso en Calle de Casp'}",False,False,False,False,False,,"[{'name': 'apartamentoType', 'text': 'Apartamento'}]"
10,96700169,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/42/8f/5a/954047218.jpg,83,27,2,782.0,flat,rent,58.0,True,3,1,Riera DE HORTA,Barcelona,Barcelona,Nou Barris,es,Vilapicina i la Torre Llobeta,41.4263052,2.1802901,False,https://www.idealista.com/inmueble/96700169/,2559,"C/ RIERA DE HORTA PARKING OPCIONAL EN C/ VELIA 95€ MEDIDAS ANCHO 2. , 10 LARGO 5,15 Piso de 58 metros construidos 55 metros útiles con 3 habitaciones, 1 baño, sin muebles y sin electrodomésticos. Vivienda rehabilitada en el año 2022 en pintura, cocina, baño, ventanas de aluminio, instalaciones de luz, agua y gas. Cocina reformada independiente con salida a lavadero. Dispone de placa vitroceramica, horno, campana extractora, caldera mixta de calefaccion y lavadora. Baño con plato de ducha. La vivienda esta orientada a Sur. Es soleado en salón y habitacion doble, esta habitacion dispone de un pequeño balcón. Suelo de gres. Puertas pintadas. Ventanas de aluminio recien instalada. Calefaccion de gas. Finca del año 1959 en buen estado. Dispone de ascensor.  NOTA: Honorarios de gestión a cargo de la parte arrendataria INDEX DE PREUS 00/10/2020: Àrea inferior 12,42 €/m² Índex 14,60 €/m² Àrea superior 17.77 €/m² NOTA IMPORTANTE: LA RENTA BASE DEL INDEX HOY ANUNCIADO SERA OBJETO DE REVISION Y ACTUALIZACION A LA FECHA DEL OTORGAMIENTO DE LA FIRMA Y ENTREGA DE LLAVES CALLES CERCANAS: C/ CARDENAL TEDESCHINI – C/ VELIA – C/ SANTAPAU - C/ MALGRAT.",False,good,False,True,13.0,{'typology': 'flat'},"{'subtitle': 'Vilapicina i la Torre Llobeta, Barcelona', 'title': 'Piso en Riera DE HORTA'}",False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 95.0}",
11,96606754,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bb/62/77/952575296.jpg,a1965,50,2,1050.0,flat,rent,63.0,True,1,1,Calle dels Agullers,Barcelona,Barcelona,Ciutat Vella,es,Sant Pere - Santa Caterina i la Ribera,41.3824843,2.1802108,False,https://www.idealista.com/inmueble/96606754/,2524,"Piso reformado de 63m² en finca con ascensor del centro de Barcelona. En una ubicación excepcional: junto Via Laietana, Born y Port Vell. Se entrega con la cocina equipada y sin muebles.  Consta de amplia zona de día exterior con salida a balcón en la que se integran espacios de salón comedor y cocina equipada con todos los electrodomésticos: nevera, lavadora, secadora, lavaplatos, vitrocerámica y extractor.  Un dormitorio doble, también exterior con salida a balcón. Baño completo con bañera. Aire acondicionado frío/calor. Armarios empotrados. Suelos de parquet.  Carpintería exterior de aluminio.  Puerta de entrada blindada. Segunda planta en finca con ascensor. Excelente comunicación con transporte público y rodeado de todos los servicios. Suministros dados de alta. Disponibilidad inmediata. Si quieres realizar una visita a este piso o resolver cualquier duda, no dudes en contactar con nosotros a través de los siguientes canales: Teléfono fijo 93 455 85 35 Teléfono móvil y WhatsApp +34 615 777 464 También puedes acercarte a nuestra oficina:  Carrer de la Indústria 137 08025 Barcelona. Por tu seguridad, exige siempre la acreditación AICAT en cualquier operación que realices con un agente inmobiliario. punto habitat immobiliaris AICAT 5508. IRPA Área inferior 14,04 €/m² Índice 16,44 €/m² Área Superior 22,89 €/m². Precio anterior arrendamiento: 1050 Euros.",True,good,False,True,17.0,{'typology': 'flat'},"{'subtitle': 'Sant Pere - Santa Caterina i la Ribera, Barcelona', 'title': 'Piso en Calle dels Agullers'}",True,False,False,False,False,,
12,96699982,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/92/fa/73/954043092.jpg,,22,1,1200.0,flat,rent,74.0,True,4,2,Eixampla Dreta 36 s/n,Barcelona,Barcelona,Eixample,es,La Dreta de l'Eixample,41.3945776,2.1564782,True,https://www.idealista.com/inmueble/96699982/,2913,"Amplio piso distribuido en 4 dormitorios, 2 de ellos doble una individual y otra de matrimonio con baño en suite que dispone de plato de ducha.  Salón comedor exterior a calle y cocina independiente. Consta de otro baño completo con ducha y lavadero. Este piso se alquila por un año.",False,good,False,True,16.0,{'typology': 'flat'},"{'subtitle': ""La Dreta de l'Eixample, Barcelona"", 'title': 'Piso en Eixampla Dreta 36 s/n'}",False,False,False,False,False,,
13,90354363,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ba/c4/00/788853699.jpg,,14,5,840.0,penthouse,rent,18.0,True,1,1,Calle de l'Allada-Vermell,Barcelona,Barcelona,Ciutat Vella,es,Sant Pere - Santa Caterina i la Ribera,41.3885707,2.1797363,False,https://www.idealista.com/inmueble/90354363/,1902,"Alquiler de temporada de máximo 11 meses. Condiciones: - alquiler 840 €/mes + 120 €/mes gastos wifi, electricidad y agua - agencia: 840 € + IVA - fianza: 1.680 € Enviar Whatsapp o Mensaje en Idealista indicando: - el periodo de alquiler  - el motivo de la estancia en Barcelona. Pequeño estudio totalmente equipado. Superficie interior 18m2. Terraza privada de 15 m2. Sin ascensor. Está situado en el último piso de un edificio antiguo en el corazón del barrio del Born. Dispone de un SOFÁ CAMA de alta calidad muy confortable donde dormir y de un armario móvil con 4 ruedas que 60 x 60 x 200 cm. Tiene una bonita terraza desde donde se puede admirar la ciudad y el mar. También dispone de un cuarto de 2 m x 1 m donde es posible almacenar cosas.",False,good,False,False,47.0,"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': 'Sant Pere - Santa Caterina i la Ribera, Barcelona', 'title': ""Ático en Calle de l'Allada-Vermell""}",False,False,False,False,False,,
